"Species" "SiteID" "Surface Type" "Plant growth type" "Biome" "Quantity" "Value"
"19" "Protea lorifolia" "3" "africa" "Protea" "Fynbos" "Area cover in 1994 (cm^2)" 762
"20" "Protea lorifolia" "3" "africa" "Protea" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" NA
"21" "Protea lorifolia" "3" "africa" "Protea" "Fynbos" "Number of individuals in 1994" 28
"22" "Protea lorifolia" "3" "africa" "Protea" "Fynbos" "Area cover in 2008 (cm^2)" 0
"23" "Protea lorifolia" "3" "africa" "Protea" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"24" "Protea lorifolia" "3" "africa" "Protea" "Fynbos" "Number of individuals in 2008" 0
"25" "Protea lorifolia" "3" "africa" "Protea" "Fynbos" "Area cover in 2012 (cm^2)" 0
"26" "Protea lorifolia" "3" "africa" "Protea" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"27" "Protea lorifolia" "3" "africa" "Protea" "Fynbos" "Number of individuals in 2012" 0
"28" "Protea lorifolia" "4a" "shale" "Protea" "Fynbos" "Area cover in 1994 (cm^2)" 783
"29" "Protea lorifolia" "4a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 272
"30" "Protea lorifolia" "4a" "shale" "Protea" "Fynbos" "Number of individuals in 1994" 39
"31" "Protea lorifolia" "4a" "shale" "Protea" "Fynbos" "Area cover in 2008 (cm^2)" 8150
"32" "Protea lorifolia" "4a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 2319
"33" "Protea lorifolia" "4a" "shale" "Protea" "Fynbos" "Number of individuals in 2008" 8
"34" "Protea lorifolia" "4a" "shale" "Protea" "Fynbos" "Area cover in 2012 (cm^2)" 9900
"35" "Protea lorifolia" "4a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"36" "Protea lorifolia" "4a" "shale" "Protea" "Fynbos" "Number of individuals in 2012" 1
"37" "Protea lorifolia" "4b" "sandstone" "Protea" "Fynbos" "Area cover in 1994 (cm^2)" 549
"38" "Protea lorifolia" "4b" "sandstone" "Protea" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 221
"39" "Protea lorifolia" "4b" "sandstone" "Protea" "Fynbos" "Number of individuals in 1994" 30
"40" "Protea lorifolia" "4b" "sandstone" "Protea" "Fynbos" "Area cover in 2008 (cm^2)" 0
"41" "Protea lorifolia" "4b" "sandstone" "Protea" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"42" "Protea lorifolia" "4b" "sandstone" "Protea" "Fynbos" "Number of individuals in 2008" 0
"43" "Protea lorifolia" "4b" "sandstone" "Protea" "Fynbos" "Area cover in 2012 (cm^2)" 0
"44" "Protea lorifolia" "4b" "sandstone" "Protea" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"45" "Protea lorifolia" "4b" "sandstone" "Protea" "Fynbos" "Number of individuals in 2012" 0
"46" "Protea lorifolia" "5a" "shale" "Protea" "Fynbos" "Area cover in 1994 (cm^2)" 800
"47" "Protea lorifolia" "5a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 304
"48" "Protea lorifolia" "5a" "shale" "Protea" "Fynbos" "Number of individuals in 1994" 41
"49" "Protea lorifolia" "5a" "shale" "Protea" "Fynbos" "Area cover in 2008 (cm^2)" 22750
"50" "Protea lorifolia" "5a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 2552
"51" "Protea lorifolia" "5a" "shale" "Protea" "Fynbos" "Number of individuals in 2008" 20
"52" "Protea lorifolia" "5a" "shale" "Protea" "Fynbos" "Area cover in 2012 (cm^2)" 1800
"53" "Protea lorifolia" "5a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"54" "Protea lorifolia" "5a" "shale" "Protea" "Fynbos" "Number of individuals in 2012" 6
"55" "Protea lorifolia" "5b" "sandstone" "Protea" "Fynbos" "Area cover in 1994 (cm^2)" 316
"56" "Protea lorifolia" "5b" "sandstone" "Protea" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 145
"57" "Protea lorifolia" "5b" "sandstone" "Protea" "Fynbos" "Number of individuals in 1994" 53
"58" "Protea lorifolia" "5b" "sandstone" "Protea" "Fynbos" "Area cover in 2008 (cm^2)" 19042
"59" "Protea lorifolia" "5b" "sandstone" "Protea" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 9319
"60" "Protea lorifolia" "5b" "sandstone" "Protea" "Fynbos" "Number of individuals in 2008" 24
"61" "Protea lorifolia" "5b" "sandstone" "Protea" "Fynbos" "Area cover in 2012 (cm^2)" 662
"62" "Protea lorifolia" "5b" "sandstone" "Protea" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 320
"63" "Protea lorifolia" "5b" "sandstone" "Protea" "Fynbos" "Number of individuals in 2012" 6
"64" "Protea neriifolia" "2a" "shale" "Protea" "Fynbos" "Area cover in 1994 (cm^2)" 87
"65" "Protea neriifolia" "2a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 17
"66" "Protea neriifolia" "2a" "shale" "Protea" "Fynbos" "Number of individuals in 1994" 3
"67" "Protea neriifolia" "2a" "shale" "Protea" "Fynbos" "Area cover in 2008 (cm^2)" 0
"68" "Protea neriifolia" "2a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"69" "Protea neriifolia" "2a" "shale" "Protea" "Fynbos" "Number of individuals in 2008" 0
"70" "Protea neriifolia" "2a" "shale" "Protea" "Fynbos" "Area cover in 2012 (cm^2)" 0
"71" "Protea neriifolia" "2a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"72" "Protea neriifolia" "2a" "shale" "Protea" "Fynbos" "Number of individuals in 2012" 0
"73" "Protea neriifolia" "2b" "sandstone" "Protea" "Fynbos" "Area cover in 1994 (cm^2)" 2897
"74" "Protea neriifolia" "2b" "sandstone" "Protea" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 1531
"75" "Protea neriifolia" "2b" "sandstone" "Protea" "Fynbos" "Number of individuals in 1994" 57
"76" "Protea neriifolia" "2b" "sandstone" "Protea" "Fynbos" "Area cover in 2008 (cm^2)" 0
"77" "Protea neriifolia" "2b" "sandstone" "Protea" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"78" "Protea neriifolia" "2b" "sandstone" "Protea" "Fynbos" "Number of individuals in 2008" 0
"79" "Protea neriifolia" "2b" "sandstone" "Protea" "Fynbos" "Area cover in 2012 (cm^2)" 0
"80" "Protea neriifolia" "2b" "sandstone" "Protea" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"81" "Protea neriifolia" "2b" "sandstone" "Protea" "Fynbos" "Number of individuals in 2012" 0
"82" "Protea neriifolia" "3" "africa" "Protea" "Fynbos" "Area cover in 1994 (cm^2)" 1983
"83" "Protea neriifolia" "3" "africa" "Protea" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" NA
"84" "Protea neriifolia" "3" "africa" "Protea" "Fynbos" "Number of individuals in 1994" 64
"85" "Protea neriifolia" "3" "africa" "Protea" "Fynbos" "Area cover in 2008 (cm^2)" 0
"86" "Protea neriifolia" "3" "africa" "Protea" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"87" "Protea neriifolia" "3" "africa" "Protea" "Fynbos" "Number of individuals in 2008" 0
"88" "Protea neriifolia" "3" "africa" "Protea" "Fynbos" "Area cover in 2012 (cm^2)" 0
"89" "Protea neriifolia" "3" "africa" "Protea" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"90" "Protea neriifolia" "3" "africa" "Protea" "Fynbos" "Number of individuals in 2012" 0
"91" "Protea neriifolia" "4a" "shale" "Protea" "Fynbos" "Area cover in 1994 (cm^2)" 1878
"92" "Protea neriifolia" "4a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 827
"93" "Protea neriifolia" "4a" "shale" "Protea" "Fynbos" "Number of individuals in 1994" 76
"94" "Protea neriifolia" "4a" "shale" "Protea" "Fynbos" "Area cover in 2008 (cm^2)" 7558
"95" "Protea neriifolia" "4a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 3416
"96" "Protea neriifolia" "4a" "shale" "Protea" "Fynbos" "Number of individuals in 2008" 24
"97" "Protea neriifolia" "4a" "shale" "Protea" "Fynbos" "Area cover in 2012 (cm^2)" 0
"98" "Protea neriifolia" "4a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"99" "Protea neriifolia" "4a" "shale" "Protea" "Fynbos" "Number of individuals in 2012" 0
"100" "Protea neriifolia" "4b" "sandstone" "Protea" "Fynbos" "Area cover in 1994 (cm^2)" 1353
"101" "Protea neriifolia" "4b" "sandstone" "Protea" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 657
"102" "Protea neriifolia" "4b" "sandstone" "Protea" "Fynbos" "Number of individuals in 1994" 73
"103" "Protea neriifolia" "4b" "sandstone" "Protea" "Fynbos" "Area cover in 2008 (cm^2)" 0
"104" "Protea neriifolia" "4b" "sandstone" "Protea" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"105" "Protea neriifolia" "4b" "sandstone" "Protea" "Fynbos" "Number of individuals in 2008" 0
"106" "Protea neriifolia" "4b" "sandstone" "Protea" "Fynbos" "Area cover in 2012 (cm^2)" 0
"107" "Protea neriifolia" "4b" "sandstone" "Protea" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"108" "Protea neriifolia" "4b" "sandstone" "Protea" "Fynbos" "Number of individuals in 2012" 0
"109" "Protea neriifolia" "5a" "shale" "Protea" "Fynbos" "Area cover in 1994 (cm^2)" 2191
"110" "Protea neriifolia" "5a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 860
"111" "Protea neriifolia" "5a" "shale" "Protea" "Fynbos" "Number of individuals in 1994" 73
"112" "Protea neriifolia" "5a" "shale" "Protea" "Fynbos" "Area cover in 2008 (cm^2)" 29000
"113" "Protea neriifolia" "5a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 15982
"114" "Protea neriifolia" "5a" "shale" "Protea" "Fynbos" "Number of individuals in 2008" 22
"115" "Protea neriifolia" "5a" "shale" "Protea" "Fynbos" "Area cover in 2012 (cm^2)" 4435
"116" "Protea neriifolia" "5a" "shale" "Protea" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 1430
"117" "Protea neriifolia" "5a" "shale" "Protea" "Fynbos" "Number of individuals in 2012" 45
"118" "Protea neriifolia" "5b" "sandstone" "Protea" "Fynbos" "Area cover in 1994 (cm^2)" 720
"119" "Protea neriifolia" "5b" "sandstone" "Protea" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 343
"120" "Protea neriifolia" "5b" "sandstone" "Protea" "Fynbos" "Number of individuals in 1994" 75
"121" "Protea neriifolia" "5b" "sandstone" "Protea" "Fynbos" "Area cover in 2008 (cm^2)" 23108
"122" "Protea neriifolia" "5b" "sandstone" "Protea" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 3604
"123" "Protea neriifolia" "5b" "sandstone" "Protea" "Fynbos" "Number of individuals in 2008" 37
"124" "Protea neriifolia" "5b" "sandstone" "Protea" "Fynbos" "Area cover in 2012 (cm^2)" 2238
"125" "Protea neriifolia" "5b" "sandstone" "Protea" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 763
"126" "Protea neriifolia" "5b" "sandstone" "Protea" "Fynbos" "Number of individuals in 2012" 45
"127" "Mastersiella purpurea" "2a" "shale" "Restio" "Fynbos" "Area cover in 1994 (cm^2)" 0
"128" "Mastersiella purpurea" "2a" "shale" "Restio" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 0
"129" "Mastersiella purpurea" "2a" "shale" "Restio" "Fynbos" "Number of individuals in 1994" 0
"130" "Mastersiella purpurea" "2a" "shale" "Restio" "Fynbos" "Area cover in 2008 (cm^2)" 0
"131" "Mastersiella purpurea" "2a" "shale" "Restio" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"132" "Mastersiella purpurea" "2a" "shale" "Restio" "Fynbos" "Number of individuals in 2008" 0
"133" "Mastersiella purpurea" "2a" "shale" "Restio" "Fynbos" "Area cover in 2012 (cm^2)" 0
"134" "Mastersiella purpurea" "2a" "shale" "Restio" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"135" "Mastersiella purpurea" "2a" "shale" "Restio" "Fynbos" "Number of individuals in 2012" 0
"136" "Mastersiella purpurea" "2b" "sandstone" "Restio" "Fynbos" "Area cover in 1994 (cm^2)" 0
"137" "Mastersiella purpurea" "2b" "sandstone" "Restio" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 0
"138" "Mastersiella purpurea" "2b" "sandstone" "Restio" "Fynbos" "Number of individuals in 1994" 0
"139" "Mastersiella purpurea" "2b" "sandstone" "Restio" "Fynbos" "Area cover in 2008 (cm^2)" 0
"140" "Mastersiella purpurea" "2b" "sandstone" "Restio" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"141" "Mastersiella purpurea" "2b" "sandstone" "Restio" "Fynbos" "Number of individuals in 2008" 0
"142" "Mastersiella purpurea" "2b" "sandstone" "Restio" "Fynbos" "Area cover in 2012 (cm^2)" 0
"143" "Mastersiella purpurea" "2b" "sandstone" "Restio" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"144" "Mastersiella purpurea" "2b" "sandstone" "Restio" "Fynbos" "Number of individuals in 2012" 0
"145" "Mastersiella purpurea" "3" "africa" "Restio" "Fynbos" "Area cover in 1994 (cm^2)" 46
"146" "Mastersiella purpurea" "3" "africa" "Restio" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" NA
"147" "Mastersiella purpurea" "3" "africa" "Restio" "Fynbos" "Number of individuals in 1994" 5
"148" "Mastersiella purpurea" "3" "africa" "Restio" "Fynbos" "Area cover in 2008 (cm^2)" 0
"149" "Mastersiella purpurea" "3" "africa" "Restio" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"150" "Mastersiella purpurea" "3" "africa" "Restio" "Fynbos" "Number of individuals in 2008" 0
"151" "Mastersiella purpurea" "3" "africa" "Restio" "Fynbos" "Area cover in 2012 (cm^2)" 0
"152" "Mastersiella purpurea" "3" "africa" "Restio" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"153" "Mastersiella purpurea" "3" "africa" "Restio" "Fynbos" "Number of individuals in 2012" 0
"154" "Mastersiella purpurea" "4a" "shale" "Restio" "Fynbos" "Area cover in 1994 (cm^2)" 152
"155" "Mastersiella purpurea" "4a" "shale" "Restio" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 81
"156" "Mastersiella purpurea" "4a" "shale" "Restio" "Fynbos" "Number of individuals in 1994" 8
"157" "Mastersiella purpurea" "4a" "shale" "Restio" "Fynbos" "Area cover in 2008 (cm^2)" 0
"158" "Mastersiella purpurea" "4a" "shale" "Restio" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"159" "Mastersiella purpurea" "4a" "shale" "Restio" "Fynbos" "Number of individuals in 2008" 0
"160" "Mastersiella purpurea" "4a" "shale" "Restio" "Fynbos" "Area cover in 2012 (cm^2)" 0
"161" "Mastersiella purpurea" "4a" "shale" "Restio" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"162" "Mastersiella purpurea" "4a" "shale" "Restio" "Fynbos" "Number of individuals in 2012" 0
"163" "Mastersiella purpurea" "4b" "sandstone" "Restio" "Fynbos" "Area cover in 1994 (cm^2)" 230
"164" "Mastersiella purpurea" "4b" "sandstone" "Restio" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 186
"165" "Mastersiella purpurea" "4b" "sandstone" "Restio" "Fynbos" "Number of individuals in 1994" 12
"166" "Mastersiella purpurea" "4b" "sandstone" "Restio" "Fynbos" "Area cover in 2008 (cm^2)" 0
"167" "Mastersiella purpurea" "4b" "sandstone" "Restio" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"168" "Mastersiella purpurea" "4b" "sandstone" "Restio" "Fynbos" "Number of individuals in 2008" 0
"169" "Mastersiella purpurea" "4b" "sandstone" "Restio" "Fynbos" "Area cover in 2012 (cm^2)" 0
"170" "Mastersiella purpurea" "4b" "sandstone" "Restio" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"171" "Mastersiella purpurea" "4b" "sandstone" "Restio" "Fynbos" "Number of individuals in 2012" 0
"172" "Mastersiella purpurea" "5a" "shale" "Restio" "Fynbos" "Area cover in 1994 (cm^2)" 153
"173" "Mastersiella purpurea" "5a" "shale" "Restio" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 95
"174" "Mastersiella purpurea" "5a" "shale" "Restio" "Fynbos" "Number of individuals in 1994" 10
"175" "Mastersiella purpurea" "5a" "shale" "Restio" "Fynbos" "Area cover in 2008 (cm^2)" 0
"176" "Mastersiella purpurea" "5a" "shale" "Restio" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"177" "Mastersiella purpurea" "5a" "shale" "Restio" "Fynbos" "Number of individuals in 2008" 0
"178" "Mastersiella purpurea" "5a" "shale" "Restio" "Fynbos" "Area cover in 2012 (cm^2)" 0
"179" "Mastersiella purpurea" "5a" "shale" "Restio" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"180" "Mastersiella purpurea" "5a" "shale" "Restio" "Fynbos" "Number of individuals in 2012" 0
"181" "Mastersiella purpurea" "5b" "sandstone" "Restio" "Fynbos" "Area cover in 1994 (cm^2)" 145
"182" "Mastersiella purpurea" "5b" "sandstone" "Restio" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 85
"183" "Mastersiella purpurea" "5b" "sandstone" "Restio" "Fynbos" "Number of individuals in 1994" 17
"184" "Mastersiella purpurea" "5b" "sandstone" "Restio" "Fynbos" "Area cover in 2008 (cm^2)" 0
"185" "Mastersiella purpurea" "5b" "sandstone" "Restio" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"186" "Mastersiella purpurea" "5b" "sandstone" "Restio" "Fynbos" "Number of individuals in 2008" 0
"187" "Mastersiella purpurea" "5b" "sandstone" "Restio" "Fynbos" "Area cover in 2012 (cm^2)" 0
"188" "Mastersiella purpurea" "5b" "sandstone" "Restio" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"189" "Mastersiella purpurea" "5b" "sandstone" "Restio" "Fynbos" "Number of individuals in 2012" 0
"190" "Hypodiscus aristatus" "2a" "shale" "Restio" "Fynbos" "Area cover in 1994 (cm^2)" 0
"191" "Hypodiscus aristatus" "2a" "shale" "Restio" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 0
"192" "Hypodiscus aristatus" "2a" "shale" "Restio" "Fynbos" "Number of individuals in 1994" 0
"193" "Hypodiscus aristatus" "2a" "shale" "Restio" "Fynbos" "Area cover in 2008 (cm^2)" 0
"194" "Hypodiscus aristatus" "2a" "shale" "Restio" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"195" "Hypodiscus aristatus" "2a" "shale" "Restio" "Fynbos" "Number of individuals in 2008" 0
"196" "Hypodiscus aristatus" "2a" "shale" "Restio" "Fynbos" "Area cover in 2012 (cm^2)" 0
"197" "Hypodiscus aristatus" "2a" "shale" "Restio" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"198" "Hypodiscus aristatus" "2a" "shale" "Restio" "Fynbos" "Number of individuals in 2012" 0
"199" "Hypodiscus aristatus" "2b" "sandstone" "Restio" "Fynbos" "Area cover in 1994 (cm^2)" 119
"200" "Hypodiscus aristatus" "2b" "sandstone" "Restio" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 42
"201" "Hypodiscus aristatus" "2b" "sandstone" "Restio" "Fynbos" "Number of individuals in 1994" 2
"202" "Hypodiscus aristatus" "2b" "sandstone" "Restio" "Fynbos" "Area cover in 2008 (cm^2)" 0
"203" "Hypodiscus aristatus" "2b" "sandstone" "Restio" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"204" "Hypodiscus aristatus" "2b" "sandstone" "Restio" "Fynbos" "Number of individuals in 2008" 0
"205" "Hypodiscus aristatus" "2b" "sandstone" "Restio" "Fynbos" "Area cover in 2012 (cm^2)" 0
"206" "Hypodiscus aristatus" "2b" "sandstone" "Restio" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"207" "Hypodiscus aristatus" "2b" "sandstone" "Restio" "Fynbos" "Number of individuals in 2012" 0
"208" "Hypodiscus aristatus" "3" "africa" "Restio" "Fynbos" "Area cover in 1994 (cm^2)" 0
"209" "Hypodiscus aristatus" "3" "africa" "Restio" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 0
"210" "Hypodiscus aristatus" "3" "africa" "Restio" "Fynbos" "Number of individuals in 1994" 0
"211" "Hypodiscus aristatus" "3" "africa" "Restio" "Fynbos" "Area cover in 2008 (cm^2)" 0
"212" "Hypodiscus aristatus" "3" "africa" "Restio" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" 0
"213" "Hypodiscus aristatus" "3" "africa" "Restio" "Fynbos" "Number of individuals in 2008" 0
"214" "Hypodiscus aristatus" "3" "africa" "Restio" "Fynbos" "Area cover in 2012 (cm^2)" 0
"215" "Hypodiscus aristatus" "3" "africa" "Restio" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"216" "Hypodiscus aristatus" "3" "africa" "Restio" "Fynbos" "Number of individuals in 2012" 0
"217" "Hypodiscus aristatus" "4a" "shale" "Restio" "Fynbos" "Area cover in 1994 (cm^2)" 128
"218" "Hypodiscus aristatus" "4a" "shale" "Restio" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 59
"219" "Hypodiscus aristatus" "4a" "shale" "Restio" "Fynbos" "Number of individuals in 1994" 8
"220" "Hypodiscus aristatus" "4a" "shale" "Restio" "Fynbos" "Area cover in 2008 (cm^2)" NA
"221" "Hypodiscus aristatus" "4a" "shale" "Restio" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" NA
"222" "Hypodiscus aristatus" "4a" "shale" "Restio" "Fynbos" "Number of individuals in 2008" NA
"223" "Hypodiscus aristatus" "4a" "shale" "Restio" "Fynbos" "Area cover in 2012 (cm^2)" 0
"224" "Hypodiscus aristatus" "4a" "shale" "Restio" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"225" "Hypodiscus aristatus" "4a" "shale" "Restio" "Fynbos" "Number of individuals in 2012" 0
"226" "Hypodiscus aristatus" "4b" "sandstone" "Restio" "Fynbos" "Area cover in 1994 (cm^2)" 231
"227" "Hypodiscus aristatus" "4b" "sandstone" "Restio" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 114
"228" "Hypodiscus aristatus" "4b" "sandstone" "Restio" "Fynbos" "Number of individuals in 1994" 7
"229" "Hypodiscus aristatus" "4b" "sandstone" "Restio" "Fynbos" "Area cover in 2008 (cm^2)" NA
"230" "Hypodiscus aristatus" "4b" "sandstone" "Restio" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" NA
"231" "Hypodiscus aristatus" "4b" "sandstone" "Restio" "Fynbos" "Number of individuals in 2008" NA
"232" "Hypodiscus aristatus" "4b" "sandstone" "Restio" "Fynbos" "Area cover in 2012 (cm^2)" 0
"233" "Hypodiscus aristatus" "4b" "sandstone" "Restio" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 0
"234" "Hypodiscus aristatus" "4b" "sandstone" "Restio" "Fynbos" "Number of individuals in 2012" 0
"235" "Hypodiscus aristatus" "5a" "shale" "Restio" "Fynbos" "Area cover in 1994 (cm^2)" 88
"236" "Hypodiscus aristatus" "5a" "shale" "Restio" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 31
"237" "Hypodiscus aristatus" "5a" "shale" "Restio" "Fynbos" "Number of individuals in 1994" 3
"238" "Hypodiscus aristatus" "5a" "shale" "Restio" "Fynbos" "Area cover in 2008 (cm^2)" NA
"239" "Hypodiscus aristatus" "5a" "shale" "Restio" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" NA
"240" "Hypodiscus aristatus" "5a" "shale" "Restio" "Fynbos" "Number of individuals in 2008" NA
"241" "Hypodiscus aristatus" "5a" "shale" "Restio" "Fynbos" "Area cover in 2012 (cm^2)" 6875
"242" "Hypodiscus aristatus" "5a" "shale" "Restio" "Fynbos" "Standard Deviation of area cover in 2012 (cm^2)" 2223
"243" "Hypodiscus aristatus" "5a" "shale" "Restio" "Fynbos" "Number of individuals in 2012" 4
"244" "Hypodiscus aristatus" "5b" "sandstone" "Restio" "Fynbos" "Area cover in 1994 (cm^2)" 85
"245" "Hypodiscus aristatus" "5b" "sandstone" "Restio" "Fynbos" "Standard Deviation of area cover in 1994 (cm^2)" 33
"246" "Hypodiscus aristatus" "5b" "sandstone" "Restio" "Fynbos" "Number of individuals in 1994" 7
"247" "Hypodiscus aristatus" "5b" "sandstone" "Restio" "Fynbos" "Area cover in 2008 (cm^2)" NA
"248" "Hypodiscus aristatus" "5b" "sandstone" "Restio" "Fynbos" "Standard Deviation of area cover in 2008 (cm^2)" NA
"249" "Hypodiscus aristatus" "5b" "sandstone" "Restio" "Fynbos" "Number of individuals in 2008" NA
